denied,debt_income_ratio,black,self_employed,score_consumer,score_mortgage,insurance_denied,loan_price_ratio
0,39,1,0,1,2,0,.90566039
0,31,0,0,1,2,0,.89795917
1,43,0,1,2,1,0,.62608695
1,40,1,0,6,2,1,.94999999
0,34,1,0,6,2,0,.89999998
1,40.599998,0,1,4,2,0,.90212768
1,23,0,0,1,2,0,.33816424
1,73,0,1,1,1,0,.45714286
0,38,1,0,1,2,0,.94666666
0,38.299999,1,0,1,2,0,.94999999
0,32,0,0,1,2,0,.89719623
0,29.299999,0,0,1,2,0,.89908254
0,24.030001,0,0,1,2,0,.2631579
0,19.4,0,0,2,2,0,.7987805
0,29.4,1,0,6,2,0,.8974359
0,38.200001,1,0,2,2,0,.90476191
0,37.98,1,1,6,2,0,.90476191
0,33.59,1,0,1,2,0,.8984375
0,39.029999,1,0,6,2,0,.90476191
0,39.279999,1,0,6,2,0,.80000001
0,28,0,0,5,2,0,.84916198
0,31,0,0,1,2,0,.26279071
0,38.41,0,1,1,2,0,.80234838
0,33.400002,1,0,1,2,0,.90209788
0,29,1,0,1,2,0,.90217394
0,33.09,0,0,1,2,0,.74576271
0,33.689999,1,0,1,2,0,.95145631
0,34.23,0,0,1,2,0,.89999998
1,30.27,1,0,5,2,0,.95454544
0,31.91,0,0,1,2,0,.79746836
0,24.629999,0,0,1,2,0,.69767439
0,28.6,0,1,2,2,0,.8019802
0,27,0,0,6,2,0,1
0,28.200001,0,1,2,2,0,.89999998
0,32.439999,0,1,1,1,0,.56479692
0,34.799999,0,1,2,2,0,.75
0,29.6,0,0,4,2,0,.49833888
0,31.98,0,0,5,1,0,.52380955
0,40.009998,0,1,1,2,0,.39543727
0,27.629999,0,0,2,2,0,1
0,35.240002,0,0,2,2,0,.79674798
0,12.38,0,0,1,2,0,.69999999
0,34,0,0,1,2,0,.75081968
0,21.16,0,1,1,2,0,.53333336
0,28.26,0,0,1,1,0,.4723618
0,28.9,0,0,1,1,0,.70588237
0,30,0,0,5,1,0,.78378379
0,36,0,0,3,2,0,.73593074
0,32,0,0,1,1,0,.56410259
1,32,0,0,1,1,0,.74123991
0,26,0,0,5,1,0,.79844964
0,26,0,0,2,1,0,.70754719
1,32,0,1,2,1,0,.80112046
0,42,1,0,3,3,0,.80000001
0,34,0,0,5,2,0,.64341086
0,37,0,0,1,2,0,.87755102
0,29,0,0,1,2,0,.60150373
0,35,0,0,1,2,0,.72000003
0,40,0,0,1,2,0,.80000001
0,36,0,0,1,2,0,.92631578
0,38,0,0,1,1,0,.70454544
0,37,0,0,1,1,0,.5777778
0,41,0,0,1,1,0,.71923077
0,32,0,0,1,2,0,.27777779
0,33,0,0,1,2,0,.94623655
0,33,0,0,1,2,0,.90849674
0,29,0,0,1,2,0,.3125
0,37,0,1,6,1,0,.34090909
0,36,0,0,6,2,0,.89880955
0,37,0,0,1,2,0,.79754603
0,30,0,0,1,1,0,.52941179
0,34,0,0,1,2,0,.87898088
0,42,0,1,2,2,0,.75
0,20,0,0,1,1,0,.11111111
0,30,0,0,2,1,0,.52980131
0,38,0,0,2,1,0,.93437499
0,34,0,0,6,2,0,.92121214
0,29,0,1,1,1,0,.71923077
0,32,0,0,1,2,0,.92146599
0,36,0,0,2,2,0,.94375002
0,41,0,0,1,1,0,.65789473
0,32,0,0,1,2,0,.80246913
0,38,1,0,1,2,0,.91150445
0,20,0,0,3,1,0,.80246913
0,28,0,0,4,2,0,.92307693
0,25,0,0,4,2,0,.55555558
0,29,0,0,1,2,0,.57538462
1,49,0,0,2,1,0,.9527027
0,33,0,0,1,2,0,.89893615
0,45,0,0,2,1,0,.69655174
1,41,0,0,1,2,1,.94701988
0,35,0,0,1,2,0,.83870965
0,35,0,0,2,3,0,.35587189
0,8,0,1,1,2,0,.7368421
0,25,0,0,1,2,0,.50370371
0,48,0,0,1,2,0,.78985506
0,36,0,1,1,2,0,1
0,32,0,0,1,2,0,.89922482
0,27,0,0,1,2,0,.84388185
0,34,0,0,1,1,0,.7986111
0,33,0,0,6,2,0,.87755102
0,28,0,0,1,2,0,.63953489
0,34,0,0,2,1,0,.89887643
0,37,0,0,1,2,0,.79768789
0,30,0,0,4,2,0,.73456788
0,36,0,0,1,2,0,.68877554
0,35.509998,0,1,3,4,0,.50724638
0,25,0,1,2,2,0,.75294119
0,14,0,0,4,1,0,.34965035
0,44,0,1,1,1,0,.41666666
0,45,0,0,1,2,0,.80310881
0,37,0,1,1,2,0,.80246913
0,34,0,0,1,1,0,.8015666
0,27.040001,0,0,3,3,0,.78698224
0,23,0,0,2,2,0,.63535911
0,34,0,0,1,2,0,.093303233
0,33,0,0,2,2,0,.72789115
0,37.5,0,0,1,2,0,.80291969
0,33.57,0,0,1,1,0,.79891306
0,27.790001,0,0,1,2,0,.63953489
0,41,0,0,1,1,0,.80000001
0,36.290001,0,0,1,1,0,.5400697
0,30.879999,0,0,1,2,0,.8012048
0,36.599998,0,0,1,2,0,.7185185
0,31.49,0,0,1,2,0,.85714287
0,27.52,0,0,1,1,0,.80952382
0,35,0,0,3,1,0,.64039409
0,33.27,0,0,1,2,0,.71428573
0,32,0,0,3,3,0,.625
1,26.42,0,0,1,1,1,.79661018
1,33.970001,0,0,2,1,0,.6111111
1,33.970001,0,0,2,1,0,.6111111
0,36.060001,0,0,1,2,0,.7185185
0,37.68,0,1,1,1,0,.90370369
0,30.1,1,0,2,2,0,.875
0,54,0,0,4,2,0,.75
0,35.099998,0,0,4,2,0,.62349397
0,38.900002,0,0,6,2,0,.91923076
1,43,0,1,6,3,0,.80000001
1,43,0,1,2,2,0,.80000001
0,15,0,0,6,1,0,.6891892
0,34,0,0,1,2,0,.90209788
0,31,0,0,2,1,0,.80000001
0,37,0,0,2,2,0,.92307693
0,31,0,0,1,2,0,.93076921
0,30,0,0,1,2,0,.94444442
0,16,0,0,1,1,0,.20304568
0,36,0,0,1,2,0,.90399998
0,36,0,0,1,2,0,.89999998
0,40,0,0,1,2,0,.69999999
0,37,0,0,1,2,0,.85000002
0,28,0,1,1,1,0,.47368422
0,43,0,0,5,2,0,.56
0,36,0,0,1,1,0,.90285712
0,24,0,1,1,2,0,.66666669
0,47,0,1,1,1,0,.65107912
0,8,1,0,4,2,0,.94
0,24,0,0,1,1,0,.56666666
0,22,0,0,1,2,0,.65317917
0,14,0,0,1,1,0,.31999999
0,21,0,0,1,1,0,.28925619
0,0,0,0,1,1,0,.6294964
1,21.02,0,0,1,2,0,.79661018
0,39.450001,0,0,1,1,0,.14769231
0,30,0,0,1,2,0,.80000001
0,36,0,0,2,2,0,.80000001
0,28,0,0,2,1,0,.55102038
0,26,0,0,1,2,0,.796875
0,28,0,0,2,2,0,.88571429
0,30.440001,0,1,2,1,0,.3644315
0,31.360001,0,0,2,1,0,.29761904
0,30.23,0,0,5,2,0,.78431374
0,19.950001,0,0,2,1,0,.41463414
0,27.450001,0,0,6,2,0,.80000001
1,31.799999,0,0,3,2,0,.80291969
0,45,0,0,6,1,0,.60439563
0,35.689999,0,0,1,1,0,.69999999
0,25.4,0,0,1,1,0,.67632848
0,24.059999,0,0,1,2,0,.40000001
0,28,0,0,1,1,0,.33870968
1,41.68,0,1,5,1,0,1.2068965
1,38.860001,0,0,2,3,0,.64485979
1,34.080002,0,0,2,2,0,.80000001
0,27,0,0,1,2,0,.89999998
1,35,0,0,1,2,0,.89999998
0,35,0,0,1,2,0,.59166664
0,32,0,0,3,2,0,.80000001
1,32,0,0,1,2,0,.80000001
0,37,0,0,1,2,0,.90399998
0,35,1,0,6,2,0,.90229887
0,44,1,0,6,2,0,.90434784
0,40,1,0,6,2,0,.94736844
0,29,1,0,1,2,0,.89887643
0,41,1,0,5,2,0,.95200002
0,25,1,0,3,2,0,.94696969
0,40,0,0,5,1,0,.80000001
0,43,1,1,5,2,0,.953125
0,41,1,0,6,2,0,.89944136
0,49,0,0,5,2,0,.94915253
0,41,0,0,1,2,0,.79389316
0,26,0,1,2,4,0,.70243901
1,36.700001,0,0,6,2,0,.8046875
0,39,0,0,1,2,0,.21505377
0,37,0,0,1,2,0,.69999999
0,33,0,0,1,2,0,.021052632
0,28,0,0,3,2,0,.80000001
0,36,0,0,1,2,0,.80000001
0,35,0,0,2,1,0,.69262296
0,32,0,0,1,2,0,.78014183
0,38,0,0,1,2,0,.25
0,35,0,0,1,2,0,.90370369
0,36,0,0,1,1,0,.54726368
0,25,0,0,1,2,0,.64705884
0,47,1,0,2,2,0,.80000001
1,18,0,0,6,2,0,.78571427
0,29,0,0,1,2,0,.74712646
0,25,0,0,1,2,0,.66470587
0,26,0,0,2,2,0,.60714287
0,29,0,0,2,2,0,.3950178
0,29,0,1,1,2,0,.71724141
0,27,0,0,2,2,0,.74033147
0,29,0,0,1,1,0,.63451779
1,21,1,0,2,2,0,.61290324
0,95,0,1,6,3,0,.54705882
0,25,0,0,1,2,0,.93023258
0,22,0,0,2,2,0,.61744964
0,37,0,0,1,1,0,.7863248
0,40,0,0,2,2,0,.92537314
0,29,0,0,1,2,0,.69696969
1,36,0,0,1,2,0,.80000001
0,32,0,0,1,2,0,.79268295
0,38,0,1,2,2,0,.83333331
1,37,0,1,2,1,0,1.3
0,40,0,0,1,2,0,.64016736
0,24,0,0,2,2,0,.5714286
0,37,0,1,2,1,0,.6111111
0,35,0,0,2,2,0,.80291969
0,41,0,0,2,1,0,.80000001
0,41,0,0,2,2,0,.93877554
0,32,1,0,4,2,0,.80000001
0,34,0,0,1,2,0,.90399998
0,39,0,0,2,2,0,.88461536
0,23.9,0,0,5,2,0,.16393442
0,33.099998,0,1,1,2,0,.40625
0,35.5,0,0,6,1,0,.55555558
0,40.889999,0,0,5,2,0,.89600003
0,16.5,0,0,1,1,0,.11019284
0,30.700001,0,0,1,2,0,.49295774
0,23.5,0,0,1,1,0,.67833698
0,31.299999,0,0,1,2,0,.55309737
0,26.6,0,0,2,2,0,.6484375
0,23.1,0,1,4,2,0,.74766356
0,30.4,0,0,1,2,0,.47348484
0,34.700001,0,0,1,1,0,.52282161
0,35.099998,0,1,1,2,0,.5
0,32.099998,0,0,1,2,0,.94520545
0,38.099998,0,0,1,1,0,.55364805
1,47.200001,0,0,2,2,0,.86956519
1,42.5,1,0,6,4,0,.95135134
0,31.9,0,0,1,1,0,.80053908
0,6.9899998,0,1,5,2,0,.47169811
0,34.099998,0,0,4,2,0,.93877554
0,34.900002,0,0,1,2,0,.27777779
0,33.799999,0,0,1,2,0,.89999998
0,39.599998,1,0,1,2,0,.8018868
0,39,0,1,1,1,0,.80653954
0,27.5,0,0,1,2,0,.72916669
0,31.049999,0,0,5,2,0,.80263156
0,46.799999,0,0,5,2,0,.78378379
0,38.860001,1,1,1,1,0,.80000001
0,24.200001,0,0,1,1,0,.1971831
0,69.199997,0,1,1,1,0,.79365081
1,57.599998,1,0,6,2,0,.89928055
0,35.41,0,0,1,2,0,.79166669
1,47.900002,1,0,6,2,0,.95192307
0,35.599998,0,0,1,1,0,.7508772
1,36.299999,1,0,1,2,1,.8611111
0,26.4,1,0,1,1,0,.44715446
0,17.299999,0,0,1,1,0,.375
0,36.5,0,0,1,2,0,.89869279
0,40.5,0,0,1,1,0,.80000001
0,25.200001,0,0,1,1,0,.80263156
0,24.799999,1,0,4,2,0,.69863015
0,39.099998,0,0,1,2,0,.27906978
0,28.299999,0,0,4,2,0,.5959596
0,30.4,0,0,1,2,0,.65217394
0,5.5999999,1,0,6,4,0,.80000001
0,38.400002,0,0,1,2,0,.80000001
1,58.400002,0,0,6,2,0,.75460124
0,26.299999,0,0,1,2,0,.80000001
0,25.27,0,0,1,2,0,.69999999
0,31.6,0,0,1,2,0,.80152673
0,35.799999,0,0,1,2,0,.875
0,36.900002,0,0,1,2,0,.79452056
0,22.200001,0,0,1,2,0,.73913044
0,25.299999,0,0,6,1,0,.63190186
0,18.4,0,0,6,2,0,.80327868
0,40,0,0,1,2,0,.90163934
0,34,0,0,1,1,0,.80232561
1,30.370001,0,0,6,2,0,.80000001
0,41,0,1,1,2,0,.67636365
1,18,0,0,6,2,0,1
0,40,0,1,2,2,0,.80000001
0,31,0,0,2,2,0,.83076924
0,53,0,0,1,2,0,.38181818
0,32.580002,0,0,2,2,0,.80000001
0,39.240002,0,0,1,1,0,.60526317
0,22.51,0,0,1,2,0,.35874438
0,38.169998,0,0,1,1,0,.79912663
0,33.75,1,0,1,2,0,.902439
0,16,0,0,2,1,0,.51666665
1,30,1,0,4,2,0,.76923078
0,10,0,1,1,1,0,1.3333334
0,20,0,0,3,1,0,.9391892
0,8,0,0,1,1,0,.79670328
0,10,0,1,2,1,0,.78328979
0,17,1,0,2,1,0,.91351354
0,29,0,0,1,2,0,.7977528
0,37,0,0,2,2,0,.92207789
0,36,0,0,1,2,0,.80000001
0,25,0,0,2,2,0,.89285713
1,36,0,0,6,2,0,.80000001
0,39,0,0,1,2,0,.89090908
0,38,0,0,2,2,0,.79850745
0,40,0,1,2,2,0,.80000001
0,36,0,0,1,1,0,.80000001
0,38,0,1,2,2,0,.91923076
0,33,0,0,1,2,0,.66292137
0,37,0,0,2,1,0,.80110496
0,22,1,1,3,1,0,.80139375
0,30,0,0,1,1,0,.42372882
0,36,0,0,1,2,0,.92052978
0,41,0,0,6,2,0,.89617485
0,35,0,0,1,2,0,.67226893
0,32,0,0,1,2,0,.80000001
1,41,1,0,6,2,1,.92592591
0,32,0,0,1,2,0,.89696968
0,40,0,0,3,1,0,.87692308
1,33,1,0,1,2,0,.80000001
0,28,0,0,1,2,0,.90217394
0,35,0,0,2,1,0,.73333335
1,40,1,0,1,2,0,.89999998
1,30,1,1,6,2,0,.90080428
0,35,0,0,4,2,0,.92156863
0,20,0,0,1,1,0,.70080864
0,29,0,0,1,4,0,.37656903
0,36,0,0,2,2,0,.90109891
0,34,0,0,1,2,0,.35193133
0,26,0,0,2,2,0,.38461539
0,28,0,0,2,1,0,.6448276
0,43,0,0,2,1,0,.41379312
0,27,0,1,1,1,0,.7972973
0,28,0,0,2,2,0,.75274724
0,27,0,0,1,2,0,.85185188
0,36,0,0,1,1,0,.64102566
0,35,0,0,2,3,0,.62630481
0,33,0,0,1,2,0,.87145972
0,32,0,0,3,1,0,.76923078
0,23,0,0,1,1,0,.5
0,37,0,0,2,2,0,.51162791
0,33.119999,0,0,2,2,0,.79333335
1,35.130001,0,0,5,2,0,.54285717
0,45.700001,0,0,1,1,0,.75661373
0,35.240002,0,0,1,2,0,.9453125
1,41.689999,0,0,2,2,1,.92307693
0,21.91,0,0,1,2,0,.80000001
1,20.52,0,1,1,2,1,.94
0,46.110001,0,0,2,2,0,.79824561
0,34.66,0,0,2,2,0,.96153843
0,31.67,0,0,1,1,0,.79545456
0,37.279999,0,0,1,2,0,.8984375
0,66.099998,0,0,1,2,0,.43356642
0,35.619999,0,0,1,2,0,.89051098
0,37.450001,1,0,2,2,0,.89583331
1,31.4,0,0,1,2,1,.86363637
1,38.389999,0,0,1,2,1,.94999999
0,36.139999,0,0,2,2,0,.79824561
0,26.639999,0,1,1,2,0,.25316456
0,32.209999,0,0,2,2,0,.80000001
0,23.110001,1,0,1,2,0,.87022901
0,36.450001,0,0,2,2,0,.89565217
0,42.66,0,0,1,1,0,.8881579
0,28.98,0,1,1,2,0,.80000001
0,81.419998,1,0,3,2,0,.52083331
0,37.139999,1,1,2,2,0,.94674557
0,29.639999,0,0,1,2,1,.89634144
0,35.349998,1,0,1,2,0,.82285714
0,34.75,1,0,2,2,0,.80000001
0,49.970001,1,0,1,2,0,.93854749
0,37.43,0,0,1,1,0,.56521738
0,46.77,1,0,3,1,0,.89887643
1,10.43,0,1,4,2,0,.66666669
0,32.279999,0,0,1,2,0,.89999998
0,29.32,0,0,1,2,0,.94690263
0,33.560001,0,0,1,2,0,.89256197
1,41.669998,1,0,5,1,0,.75
0,25.75,0,0,1,2,0,.80000001
0,35.77,0,0,1,1,0,.70256412
1,46.68,0,0,4,2,0,.66666669
0,21.6,1,0,3,1,0,.32374102
0,27.700001,0,1,2,1,0,.65217394
0,27,0,0,1,1,0,.65420562
0,32,0,0,2,1,0,.70987654
0,25,0,0,1,1,0,.63829786
1,50.5,0,0,6,2,0,.64135021
0,32,1,0,2,2,0,.61262959
1,35.5,1,1,5,2,0,.6875
0,31,0,0,1,2,0,.89655173
0,30,0,0,2,1,0,.47945204
0,19,0,0,1,1,0,.1847941
0,18,1,0,1,1,0,1.0035211
0,8,0,0,1,1,0,1
0,36,0,0,1,1,0,1
0,14,0,0,1,2,0,1
0,34,0,0,1,2,0,1
0,34,0,0,1,1,0,1
0,32,1,0,1,1,0,1
0,19,0,0,1,1,0,1.08
0,32,0,0,2,1,0,1
0,73,0,0,1,1,0,1
0,58,1,0,1,1,0,1
0,30,0,0,1,2,0,1
0,14,0,0,1,2,0,1
0,26,0,1,1,1,0,1
0,43,0,0,2,1,0,1
0,47,0,0,1,1,0,1
0,25,1,0,2,1,0,1
0,30,0,0,1,1,0,1
0,27,0,0,6,2,0,1
0,36,0,0,1,1,0,1
0,24.9,0,0,2,4,0,.23712738
0,21.6,0,0,3,1,0,.52044612
1,116,0,0,1,2,0,.75268817
0,36,0,1,3,1,0,.59405941
0,27.799999,0,0,5,2,0,.31921825
0,32,0,0,2,2,0,.80000001
0,28.799999,0,0,2,2,0,.7478261
0,48.299999,0,1,2,1,0,.75
0,31.200001,0,0,2,2,0,.63157892
0,29.700001,0,0,1,1,0,.57446808
0,34.400002,0,0,1,2,0,.69999999
0,36.200001,0,0,2,2,0,.75
0,28.5,0,0,2,2,0,.81632656
0,32.299999,0,0,2,1,0,.75
0,40.400002,0,1,1,1,0,.79914528
0,31.6,1,0,1,2,0,.89622641
0,28.799999,0,0,4,2,0,.75
0,35.799999,0,0,1,2,0,.6875
0,29,0,0,1,1,0,.73412699
0,35,0,0,2,2,0,.95238096
0,34,0,0,2,1,0,.80000001
0,36,0,0,1,2,0,.79870129
1,27,0,0,6,2,0,.72560978
1,45,1,0,6,2,0,.88780487
0,32,0,0,6,4,0,.85000002
0,33,0,0,1,2,0,.90588236
0,46,0,0,6,2,0,.80000001
0,35,0,0,1,2,0,.80219781
0,35,0,0,6,2,0,.80000001
0,39,0,1,1,2,0,.80000001
0,46,0,0,2,2,0,.66666669
0,38,0,0,1,2,0,.79069769
0,27,0,0,2,2,0,.80000001
0,38,0,0,2,1,0,.80000001
0,22,0,0,1,1,0,.46666667
0,38,0,0,2,2,0,.90344828
0,37,0,0,1,2,0,.64999998
0,37,0,0,1,2,0,.94871795
0,28,0,0,2,1,0,.75999999
0,25,0,0,1,2,0,.69230771
0,26,0,0,1,1,0,.2173913
0,27,0,0,1,2,0,.94936711
0,38,0,0,1,1,0,.74400002
0,35,0,0,1,2,0,.75151515
0,25,0,0,5,1,0,.79824561
0,38,0,0,2,1,0,.79924953
0,37,0,0,1,1,0,1
0,27,0,0,2,1,0,.75
0,24,0,0,2,2,0,.80000001
0,36,0,0,1,4,0,.73972601
0,23,0,0,1,1,0,.61946905
0,33,0,0,1,2,0,.73287672
0,28,0,1,1,1,0,.60000002
0,33,0,0,3,1,0,.79365081
1,37,0,1,3,2,1,.95333332
0,32,0,0,2,2,0,.95384616
0,27,0,0,1,2,0,.8018868
0,28,0,0,1,2,0,.9513889
0,39,0,0,1,2,0,.95238096
0,38,0,0,5,2,0,.94615382
0,38,0,0,1,1,0,.80000001
1,38,0,0,1,2,1,.94782609
1,30,1,0,6,2,0,.90399998
0,39,1,0,6,2,0,.90225565
0,34,0,0,1,2,0,.58823532
0,19,0,1,1,2,0,.34042552
0,34,0,0,6,3,0,.57538462
0,33,0,0,1,2,0,.51813471
0,31,0,1,5,2,0,.75
0,29,1,0,1,2,0,.80000001
0,20,0,0,4,2,0,.40935671
0,45,0,0,5,2,0,.54545456
0,32,0,0,1,2,0,.7977528
0,20,0,1,1,1,0,.77777779
0,27,0,1,1,1,0,.79651165
0,13,0,0,1,2,0,1.1724138
0,15,0,1,1,1,0,.7453416
0,10,0,1,1,1,0,.80000001
0,38,0,0,1,2,0,.56291389
0,22,0,0,1,1,0,.79381442
0,22,0,1,1,1,0,.77978337
0,13,0,1,1,2,0,.80000001
0,7,0,0,1,1,0,.51219511
1,36,0,0,1,1,0,.59677422
1,36,0,0,1,1,0,.59677422
